it's a PRI file!
[mrm_dataitem]: size: 2208, offset: 0
[mrm_dataitem]: size: 2368, offset: 0
[mrm_dataitem]: size: 1472, offset: 0
[mrm_dataitem]: size: 2704, offset: 0
[mrm_dataitem]: size: 2464, offset: 0
[mrm_dataitem]: size: 2008, offset: 0
[mrm_dataitem]: size: 2624, offset: 0
[mrm_dataitem]: size: 4688, offset: 0
[mrm_dataitem]: size: 2592, offset: 0
[mrm_dataitem]: size: 2600, offset: 0
[mrm_dataitem]: size: 2760, offset: 0
[mrm_dataitem]: size: 2336, offset: 0
[mrm_dataitem]: size: 4720, offset: 0
[mrm_dataitem]: size: 4600, offset: 0
[mrm_dataitem]: size: 3848, offset: 0
[mrm_dataitem]: size: 2680, offset: 0
[mrm_dataitem]: size: 4440, offset: 0
[mrm_dataitem]: size: 2760, offset: 0
[mrm_dataitem]: size: 3088, offset: 0
[mrm_dataitem]: size: 1864, offset: 0
[mrm_dataitem]: size: 25040, offset: 0
[mrm_dataitem]: size: 18521976, offset: 0
[mrm_dataitem]: size: 888, offset: 0
[mrm_dataitem]: size: 496, offset: 0
[mrm_dataitem]: size: 496, offset: 0
[mrm_dataitem]: size: 456, offset: 0
[mrm_dataitem]: size: 496, offset: 0
[mrm_dataitem]: size: 496, offset: 0
[mrm_dataitem]: size: 456, offset: 0
[mrm_dataitem]: size: 496, offset: 0
[mrm_dataitem]: size: 496, offset: 0
[mrm_dataitem]: size: 888, offset: 0
[mrm_dataitem]: size: 496, offset: 0
[mrm_dataitem]: size: 496, offset: 0
[mrm_dataitem]: size: 376, offset: 0
[mrm_dataitem]: size: 496, offset: 0
[mrm_dataitem]: size: 496, offset: 0
[mrm_dataitem]: size: 104, offset: 0
[mrm_dataitem]: size: 120, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 104, offset: 0
[mrm_dataitem]: size: 120, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 104, offset: 0
[mrm_dataitem]: size: 120, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 104, offset: 0
[mrm_dataitem]: size: 120, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 120, offset: 0
[mrm_dataitem]: size: 120, offset: 0
[mrm_dataitem]: size: 104, offset: 0
[mrm_dataitem]: size: 120, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 104, offset: 0
[mrm_dataitem]: size: 120, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 104, offset: 0
[mrm_dataitem]: size: 120, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 104, offset: 0
[mrm_dataitem]: size: 120, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 104, offset: 0
[mrm_dataitem]: size: 120, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 104, offset: 0
[mrm_dataitem]: size: 120, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 104, offset: 0
[mrm_dataitem]: size: 120, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 104, offset: 0
[mrm_dataitem]: size: 120, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 104, offset: 0
[mrm_dataitem]: size: 120, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 104, offset: 0
[mrm_dataitem]: size: 120, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 136, offset: 0
[mrm_dataitem]: size: 112, offset: 0
[mrm_dataitem]: size: 112, offset: 0
